Start Archetype,Plot Type,Opposing Archetype
The Herald,Overcoming the Monster,The Shapeshifter
The Herald,Overcoming the Monster,The Guardian
The Herald,Overcoming the Monster,The Shadow
The Herald,Overcoming the Monster,The Ruler
The Herald,Overcoming the Monster,The Creator
The Herald,Overcoming the Monster,The Innocent
The Herald,Overcoming the Monster,The Outlaw
The Herald,Rags to Riches,The Hero
The Herald,Rags to Riches,The Mentor
The Herald,Rags to Riches,The Ally
The Herald,Rags to Riches,The Trickster
The Herald,Rags to Riches,The Shapeshifter
The Herald,Rags to Riches,The Guardian
The Herald,Rags to Riches,The Shadow
The Herald,Rags to Riches,The Ruler
The Herald,Rags to Riches,The Creator
The Herald,Rags to Riches,The Innocent
The Herald,Rags to Riches,The Outlaw
The Herald,The Quest,The Hero
The Herald,The Quest,The Mentor
The Herald,The Quest,The Ally
The Herald,The Quest,The Trickster
The Herald,The Quest,The Shapeshifter
The Herald,The Quest,The Guardian
The Herald,The Quest,The Shadow
The Herald,The Quest,The Ruler
The Herald,The Quest,The Creator
The Herald,The Quest,The Innocent
The Herald,The Quest,The Outlaw
The Herald,Voyage and Return,The Hero
The Herald,Voyage and Return,The Mentor
The Herald,Voyage and Return,The Ally
The Herald,Voyage and Return,The Trickster
The Herald,Voyage and Return,The Shapeshifter
The Herald,Voyage and Return,The Guardian
The Herald,Voyage and Return,The Shadow
The Herald,Voyage and Return,The Ruler
The Herald,Voyage and Return,The Creator
The Herald,Voyage and Return,The Innocent
The Herald,Voyage and Return,The Outlaw
The Herald,Comedy,The Hero
The Herald,Comedy,The Mentor
The Herald,Comedy,The Ally
The Herald,Comedy,The Trickster
The Herald,Comedy,The Shapeshifter
The Herald,Comedy,The Guardian
The Herald,Comedy,The Shadow
The Herald,Comedy,The Ruler
The Herald,Comedy,The Creator
The Herald,Comedy,The Innocent
The Herald,Comedy,The Outlaw
The Herald,Tragedy,The Hero
The Herald,Tragedy,The Mentor
The Herald,Tragedy,The Ally
The Herald,Tragedy,The Trickster
The Herald,Tragedy,The Shapeshifter
The Herald,Tragedy,The Guardian
The Herald,Tragedy,The Shadow
The Herald,Tragedy,The Ruler
The Herald,Tragedy,The Creator
The Herald,Tragedy,The Innocent
The Herald,Tragedy,The Outlaw
The Herald,Rebirth,The Hero
The Herald,Rebirth,The Mentor
The Herald,Rebirth,The Ally
The Herald,Rebirth,The Trickster
The Herald,Rebirth,The Shapeshifter
The Herald,Rebirth,The Guardian
The Herald,Rebirth,The Shadow
The Herald,Rebirth,The Ruler
The Herald,Rebirth,The Creator
The Herald,Rebirth,The Innocent
The Herald,Rebirth,The Outlaw
The Trickster,Overcoming the Monster,The Hero
The Trickster,Overcoming the Monster,The Mentor
The Trickster,Overcoming the Monster,The Ally
The Trickster,Overcoming the Monster,The Herald
The Trickster,Overcoming the Monster,The Shapeshifter
The Trickster,Overcoming the Monster,The Guardian
The Trickster,Overcoming the Monster,The Shadow
The Trickster,Overcoming the Monster,The Ruler
The Trickster,Overcoming the Monster,The Creator
The Trickster,Overcoming the Monster,The Innocent
The Trickster,Overcoming the Monster,The Outlaw
The Trickster,Rags to Riches,The Hero
The Trickster,Rags to Riches,The Mentor
The Trickster,Rags to Riches,The Ally
The Trickster,Rags to Riches,The Herald
The Trickster,Rags to Riches,The Shapeshifter
The Trickster,Rags to Riches,The Guardian
The Trickster,Rags to Riches,The Shadow
The Trickster,Rags to Riches,The Ruler
The Trickster,Rags to Riches,The Creator
The Trickster,Rags to Riches,The Innocent
The Trickster,Rags to Riches,The Outlaw
The Trickster,The Quest,The Hero
The Trickster,The Quest,The Mentor
The Trickster,The Quest,The Ally
The Trickster,The Quest,The Herald
The Trickster,The Quest,The Shapeshifter
The Trickster,The Quest,The Guardian
The Trickster,The Quest,The Shadow
The Trickster,The Quest,The Ruler
The Trickster,The Quest,The Creator
The Trickster,The Quest,The Innocent
The Trickster,The Quest,The Outlaw
The Trickster,Voyage and Return,The Hero
The Trickster,Voyage and Return,The Mentor
The Trickster,Voyage and Return,The Ally
The Trickster,Voyage and Return,The Herald
The Trickster,Voyage and Return,The Shapeshifter
The Trickster,Voyage and Return,The Guardian
The Trickster,Voyage and Return,The Shadow
The Trickster,Voyage and Return,The Ruler
The Trickster,Voyage and Return,The Creator
The Trickster,Voyage and Return,The Innocent
The Trickster,Voyage and Return,The Outlaw
The Trickster,Comedy,The Hero
The Trickster,Comedy,The Mentor
The Trickster,Comedy,The Ally
The Trickster,Comedy,The Herald
The Trickster,Comedy,The Shapeshifter
The Trickster,Comedy,The Guardian
The Trickster,Comedy,The Shadow
The Trickster,Comedy,The Ruler
The Trickster,Comedy,The Creator
The Trickster,Comedy,The Innocent
The Trickster,Comedy,The Outlaw
The Trickster,Tragedy,The Hero
The Trickster,Tragedy,The Mentor
The Trickster,Tragedy,The Ally
The Trickster,Tragedy,The Herald
The Trickster,Tragedy,The Shapeshifter
The Trickster,Tragedy,The Guardian
The Trickster,Tragedy,The Shadow
The Trickster,Tragedy,The Ruler
The Trickster,Tragedy,The Creator
The Trickster,Tragedy,The Innocent
The Trickster,Tragedy,The Outlaw
The Trickster,Rebirth,The Hero
The Trickster,Rebirth,The Mentor
The Trickster,Rebirth,The Ally
The Trickster,Rebirth,The Herald
The Trickster,Rebirth,The Shapeshifter
The Trickster,Rebirth,The Guardian
The Trickster,Rebirth,The Shadow
The Trickster,Rebirth,The Ruler
The Trickster,Rebirth,The Creator
The Trickster,Rebirth,The Innocent
The Trickster,Rebirth,The Outlaw
The Shapeshifter,Overcoming the Monster,The Hero
The Shapeshifter,Overcoming the Monster,The Mentor
The Shapeshifter,Overcoming the Monster,The Ally
The Shapeshifter,Overcoming the Monster,The Herald
The Shapeshifter,Overcoming the Monster,The Trickster
The Shapeshifter,Overcoming the Monster,The Guardian
The Shapeshifter,Overcoming the Monster,The Shadow
The Shapeshifter,Overcoming the Monster,The Ruler
The Shapeshifter,Overcoming the Monster,The Creator
The Shapeshifter,Overcoming the Monster,The Innocent
The Shapeshifter,Overcoming the Monster,The Outlaw
The Shapeshifter,Rags to Riches,The Hero
The Shapeshifter,Rags to Riches,The Mentor
The Shapeshifter,Rags to Riches,The Ally
The Shapeshifter,Rags to Riches,The Herald
The Shapeshifter,Rags to Riches,The Trickster
The Shapeshifter,Rags to Riches,The Guardian
The Shapeshifter,Rags to Riches,The Shadow
The Shapeshifter,Rags to Riches,The Ruler
The Shapeshifter,Rags to Riches,The Creator
The Shapeshifter,Rags to Riches,The Innocent
The Shapeshifter,Rags to Riches,The Outlaw
The Shapeshifter,The Quest,The Hero
The Shapeshifter,The Quest,The Mentor
The Shapeshifter,The Quest,The Ally
The Shapeshifter,The Quest,The Herald
The Shapeshifter,The Quest,The Trickster
The Shapeshifter,The Quest,The Guardian
The Shapeshifter,The Quest,The Shadow
The Shapeshifter,The Quest,The Ruler
The Shapeshifter,The Quest,The Creator
The Shapeshifter,The Quest,The Innocent
The Shapeshifter,The Quest,The Outlaw
The Shapeshifter,Voyage and Return,The Hero
The Shapeshifter,Voyage and Return,The Mentor
The Shapeshifter,Voyage and Return,The Ally
The Shapeshifter,Voyage and Return,The Herald
The Shapeshifter,Voyage and Return,The Trickster
The Shapeshifter,Voyage and Return,The Guardian
The Shapeshifter,Voyage and Return,The Shadow
The Shapeshifter,Voyage and Return,The Ruler
The Shapeshifter,Voyage and Return,The Creator
The Shapeshifter,Voyage and Return,The Innocent
The Shapeshifter,Voyage and Return,The Outlaw
The Shapeshifter,Comedy,The Hero
The Shapeshifter,Comedy,The Mentor
The Shapeshifter,Comedy,The Ally
The Shapeshifter,Comedy,The Herald
The Shapeshifter,Comedy,The Trickster
The Shapeshifter,Comedy,The Guardian
The Shapeshifter,Comedy,The Shadow
The Shapeshifter,Comedy,The Ruler
The Shapeshifter,Comedy,The Creator
The Shapeshifter,Comedy,The Innocent
The Shapeshifter,Comedy,The Outlaw
The Shapeshifter,Tragedy,The Hero
The Shapeshifter,Tragedy,The Mentor
The Shapeshifter,Tragedy,The Ally
The Shapeshifter,Tragedy,The Herald
The Shapeshifter,Tragedy,The Trickster
The Shapeshifter,Tragedy,The Guardian
The Shapeshifter,Tragedy,The Shadow
The Shapeshifter,Tragedy,The Ruler
The Shapeshifter,Tragedy,The Creator
The Shapeshifter,Tragedy,The Innocent
The Shapeshifter,Tragedy,The Outlaw
The Shapeshifter,Rebirth,The Hero
The Shapeshifter,Rebirth,The Mentor
The Shapeshifter,Rebirth,The Ally
The Shapeshifter,Rebirth,The Herald
The Shapeshifter,Rebirth,The Trickster
The Shapeshifter,Rebirth,The Guardian
The Shapeshifter,Rebirth,The Shadow
The Shapeshifter,Rebirth,The Ruler
The Shapeshifter,Rebirth,The Creator
The Shapeshifter,Rebirth,The Innocent
The Shapeshifter,Rebirth,The Outlaw
The Guardian,Overcoming the Monster,The Hero
The Guardian,Overcoming the Monster,The Mentor
The Guardian,Overcoming the Monster,The Ally
The Guardian,Overcoming the Monster,The Herald
The Guardian,Overcoming the Monster,The Trickster
The Guardian,Overcoming the Monster,The Shapeshifter
The Guardian,Overcoming the Monster,The Shadow
The Guardian,Overcoming the Monster,The Ruler
The Guardian,Overcoming the Monster,The Creator
The Guardian,Overcoming the Monster,The Innocent
The Guardian,Overcoming the Monster,The Outlaw
The Guardian,Rags to Riches,The Hero
The Guardian,Rags to Riches,The Mentor
The Guardian,Rags to Riches,The Ally
The Guardian,Rags to Riches,The Herald
The Guardian,Rags to Riches,The Trickster
The Guardian,Rags to Riches,The Shapeshifter
The Guardian,Rags to Riches,The Shadow
The Guardian,Rags to Riches,The Ruler
The Guardian,Rags to Riches,The Creator
The Guardian,Rags to Riches,The Innocent
The Guardian,Rags to Riches,The Outlaw
The Guardian,The Quest,The Hero
The Guardian,The Quest,The Mentor
The Guardian,The Quest,The Ally
The Guardian,The Quest,The Herald
The Guardian,The Quest,The Trickster
The Guardian,The Quest,The Shapeshifter
The Guardian,The Quest,The Shadow
The Guardian,The Quest,The Ruler
The Guardian,The Quest,The Creator
The Guardian,The Quest,The Innocent
The Guardian,The Quest,The Outlaw
The Guardian,Voyage and Return,The Hero
The Guardian,Voyage and Return,The Mentor
The Guardian,Voyage and Return,The Ally
The Guardian,Voyage and Return,The Herald
The Guardian,Voyage and Return,The Trickster
The Guardian,Voyage and Return,The Shapeshifter
The Guardian,Voyage and Return,The Shadow
The Guardian,Voyage and Return,The Ruler
The Guardian,Voyage and Return,The Creator
The Guardian,Voyage and Return,The Innocent
The Guardian,Voyage and Return,The Outlaw
The Guardian,Comedy,The Hero
The Guardian,Comedy,The Mentor
The Guardian,Comedy,The Ally
The Guardian,Comedy,The Herald
The Guardian,Comedy,The Trickster
The Guardian,Comedy,The Shapeshifter
The Guardian,Comedy,The Shadow
The Guardian,Comedy,The Ruler
The Guardian,Comedy,The Creator
The Guardian,Comedy,The Innocent
The Guardian,Comedy,The Outlaw
The Guardian,Tragedy,The Hero
The Guardian,Tragedy,The Mentor
The Guardian,Tragedy,The Ally
The Guardian,Tragedy,The Herald
The Guardian,Tragedy,The Trickster
The Guardian,Tragedy,The Shapeshifter
The Guardian,Tragedy,The Shadow
The Guardian,Tragedy,The Ruler
The Guardian,Tragedy,The Creator
The Guardian,Tragedy,The Innocent
The Guardian,Tragedy,The Outlaw
The Guardian,Rebirth,The Hero
The Guardian,Rebirth,The Mentor
The Guardian,Rebirth,The Ally
The Guardian,Rebirth,The Herald
The Guardian,Rebirth,The Trickster
The Guardian,Rebirth,The Shapeshifter
The Guardian,Rebirth,The Shadow
The Guardian,Rebirth,The Ruler
The Guardian,Rebirth,The Creator
The Guardian,Rebirth,The Innocent
The Guardian,Rebirth,The Outlaw
The Shadow,Overcoming the Monster,The Hero
The Shadow,Overcoming the Monster,The Mentor
The Shadow,Overcoming the Monster,The Ally
The Shadow,Overcoming the Monster,The Herald
The Shadow,Overcoming the Monster,The Trickster
The Shadow,Overcoming the Monster,The Shapeshifter
The Shadow,Overcoming the Monster,The Guardian
The Shadow,Overcoming the Monster,The Ruler
The Shadow,Overcoming the Monster,The Creator
The Shadow,Overcoming the Monster,The Innocent
The Shadow,Overcoming the Monster,The Outlaw
The Shadow,Rags to Riches,The Hero
The Shadow,Rags to Riches,The Mentor
The Shadow,Rags to Riches,The Ally
The Shadow,Rags to Riches,The Herald
The Shadow,Rags to Riches,The Trickster
The Shadow,Rags to Riches,The Shapeshifter
The Shadow,Rags to Riches,The Guardian
The Shadow,Rags to Riches,The Ruler
The Shadow,Rags to Riches,The Creator
The Shadow,Rags to Riches,The Innocent
The Shadow,Rags to Riches,The Outlaw
The Shadow,The Quest,The Hero
The Shadow,The Quest,The Mentor
The Shadow,The Quest,The Ally
The Shadow,The Quest,The Herald
The Shadow,The Quest,The Trickster
The Shadow,The Quest,The Shapeshifter
The Shadow,The Quest,The Guardian
The Shadow,The Quest,The Ruler
The Shadow,The Quest,The Creator
The Shadow,The Quest,The Innocent
The Shadow,The Quest,The Outlaw
The Shadow,Voyage and Return,The Hero
The Shadow,Voyage and Return,The Mentor
The Shadow,Voyage and Return,The Ally
The Shadow,Voyage and Return,The Herald
The Shadow,Voyage and Return,The Trickster
The Shadow,Voyage and Return,The Shapeshifter
The Shadow,Voyage and Return,The Guardian
The Shadow,Voyage and Return,The Ruler
The Shadow,Voyage and Return,The Creator
The Shadow,Voyage and Return,The Innocent
The Shadow,Voyage and Return,The Outlaw
The Shadow,Comedy,The Hero
The Shadow,Comedy,The Mentor
The Shadow,Comedy,The Ally
The Shadow,Comedy,The Herald
The Shadow,Comedy,The Trickster
The Shadow,Comedy,The Shapeshifter
The Shadow,Comedy,The Guardian
The Shadow,Comedy,The Ruler
The Shadow,Comedy,The Creator
The Shadow,Comedy,The Innocent
The Shadow,Comedy,The Outlaw
The Shadow,Tragedy,The Hero
The Shadow,Tragedy,The Mentor
The Shadow,Tragedy,The Ally
The Shadow,Tragedy,The Herald
The Shadow,Tragedy,The Trickster
The Shadow,Tragedy,The Shapeshifter
The Shadow,Tragedy,The Guardian
The Shadow,Tragedy,The Ruler
The Shadow,Tragedy,The Creator
The Shadow,Tragedy,The Innocent
The Shadow,Tragedy,The Outlaw
The Shadow,Rebirth,The Hero
The Shadow,Rebirth,The Mentor
The Shadow,Rebirth,The Ally
The Shadow,Rebirth,The Herald
The Shadow,Rebirth,The Trickster
The Shadow,Rebirth,The Shapeshifter
The Shadow,Rebirth,The Guardian
The Shadow,Rebirth,The Ruler
The Shadow,Rebirth,The Creator
The Shadow,Rebirth,The Innocent
The Shadow,Rebirth,The Outlaw
The Ruler,Overcoming the Monster,The Hero
The Ruler,Overcoming the Monster,The Mentor
The Ruler,Overcoming the Monster,The Ally
The Ruler,Overcoming the Monster,The Herald
The Ruler,Overcoming the Monster,The Trickster
The Ruler,Overcoming the Monster,The Shapeshifter
The Ruler,Overcoming the Monster,The Guardian
The Ruler,Overcoming the Monster,The Shadow
The Ruler,Overcoming the Monster,The Creator
The Ruler,Overcoming the Monster,The Innocent
The Ruler,Overcoming the Monster,The Outlaw
The Ruler,Rags to Riches,The Hero
The Ruler,Rags to Riches,The Mentor
The Ruler,Rags to Riches,The Ally
The Ruler,Rags to Riches,The Herald
The Ruler,Rags to Riches,The Trickster
The Ruler,Rags to Riches,The Shapeshifter
The Ruler,Rags to Riches,The Guardian
The Ruler,Rags to Riches,The Shadow
The Ruler,Rags to Riches,The Creator
The Ruler,Rags to Riches,The Innocent
The Ruler,Rags to Riches,The Outlaw
The Ruler,The Quest,The Hero
The Ruler,The Quest,The Mentor
The Ruler,The Quest,The Ally
The Ruler,The Quest,The Herald
The Ruler,The Quest,The Trickster
The Ruler,The Quest,The Shapeshifter
The Ruler,The Quest,The Guardian
The Ruler,The Quest,The Shadow
The Ruler,The Quest,The Creator
The Ruler,The Quest,The Innocent
The Ruler,The Quest,The Outlaw
The Ruler,Voyage and Return,The Hero
The Ruler,Voyage and Return,The Mentor
The Ruler,Voyage and Return,The Ally
The Ruler,Voyage and Return,The Herald
The Ruler,Voyage and Return,The Trickster
The Ruler,Voyage and Return,The Shapeshifter
The Ruler,Voyage and Return,The Guardian
The Ruler,Voyage and Return,The Shadow
The Ruler,Voyage and Return,The Creator
The Ruler,Voyage and Return,The Innocent
The Ruler,Voyage and Return,The Outlaw
The Ruler,Comedy,The Hero
The Ruler,Comedy,The Mentor
The Ruler,Comedy,The Ally
The Ruler,Comedy,The Herald
The Ruler,Comedy,The Trickster
The Ruler,Comedy,The Shapeshifter
The Ruler,Comedy,The Guardian
The Ruler,Comedy,The Shadow
The Ruler,Comedy,The Creator
The Ruler,Comedy,The Innocent
The Ruler,Comedy,The Outlaw
The Ruler,Tragedy,The Hero
The Ruler,Tragedy,The Mentor
The Ruler,Tragedy,The Ally
The Ruler,Tragedy,The Herald
The Ruler,Tragedy,The Trickster
The Ruler,Tragedy,The Shapeshifter
The Ruler,Tragedy,The Guardian
The Ruler,Tragedy,The Shadow
The Ruler,Tragedy,The Creator
The Ruler,Tragedy,The Innocent
The Ruler,Tragedy,The Outlaw
The Ruler,Rebirth,The Hero
The Ruler,Rebirth,The Mentor
The Ruler,Rebirth,The Ally
The Ruler,Rebirth,The Herald
The Ruler,Rebirth,The Trickster
The Ruler,Rebirth,The Shapeshifter
The Ruler,Rebirth,The Guardian
The Ruler,Rebirth,The Shadow
The Ruler,Rebirth,The Creator
The Ruler,Rebirth,The Innocent
The Ruler,Rebirth,The Outlaw
The Creator,Overcoming the Monster,The Hero
The Creator,Overcoming the Monster,The Mentor
The Creator,Overcoming the Monster,The Ally
The Creator,Overcoming the Monster,The Herald
The Creator,Overcoming the Monster,The Trickster
The Creator,Overcoming the Monster,The Shapeshifter
The Creator,Overcoming the Monster,The Guardian
The Creator,Overcoming the Monster,The Shadow
The Creator,Overcoming the Monster,The Ruler
The Creator,Overcoming the Monster,The Innocent
The Creator,Overcoming the Monster,The Outlaw
The Creator,Rags to Riches,The Hero
The Creator,Rags to Riches,The Mentor
The Creator,Rags to Riches,The Ally
The Creator,Rags to Riches,The Herald
The Creator,Rags to Riches,The Trickster
The Creator,Rags to Riches,The Shapeshifter
The Creator,Rags to Riches,The Guardian
The Creator,Rags to Riches,The Shadow
The Creator,Rags to Riches,The Ruler
The Creator,Rags to Riches,The Innocent
The Creator,Rags to Riches,The Outlaw
The Creator,The Quest,The Hero
The Creator,The Quest,The Mentor
The Creator,The Quest,The Ally
The Creator,The Quest,The Herald
The Creator,The Quest,The Trickster
The Creator,The Quest,The Shapeshifter
The Creator,The Quest,The Guardian
The Creator,The Quest,The Shadow
The Creator,The Quest,The Ruler
The Creator,The Quest,The Innocent
The Creator,The Quest,The Outlaw
The Creator,Voyage and Return,The Hero
The Creator,Voyage and Return,The Mentor
The Creator,Voyage and Return,The Ally
The Creator,Voyage and Return,The Herald
The Creator,Voyage and Return,The Trickster
The Creator,Voyage and Return,The Shapeshifter
The Creator,Voyage and Return,The Guardian
The Creator,Voyage and Return,The Shadow
The Creator,Voyage and Return,The Ruler
The Creator,Voyage and Return,The Innocent
The Creator,Voyage and Return,The Outlaw
The Creator,Comedy,The Hero
The Creator,Comedy,The Mentor
The Creator,Comedy,The Ally
